initial_alias,converted_alias,name,description,namespace
MYO1D,ENSG00000176658,MYO1D,myosin ID [Source:HGNC Symbol;Acc:HGNC:7598],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FOXL1,ENSG00000176678,FOXL1,forkhead box L1 [Source:HGNC Symbol;Acc:HGNC:3817],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TGIF2LY,ENSG00000176679,TGIF2LY,TGFB induced factor homeobox 2 like Y-linked [Source:HGNC Symbol;Acc:HGNC:18569],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LRRC37A,ENSG00000176681,LRRC37A,leucine rich repeat containing 37A [Source:HGNC Symbol;Acc:HGNC:29069],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FOXC2,ENSG00000176692,FOXC2,forkhead box C2 [Source:HGNC Symbol;Acc:HGNC:3801],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR4F17,ENSG00000176695,OR4F17,olfactory receptor family 4 subfamily F member 17 [Source:HGNC Symbol;Acc:HGNC:15381],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
BDNF,ENSG00000176697,BDNF,brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CCDC121,ENSG00000176714,CCDC121,coiled-coil domain containing 121 [Source:HGNC Symbol;Acc:HGNC:25833],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ACSF3,ENSG00000176715,ACSF3,acyl-CoA synthetase family member 3 [Source:HGNC Symbol;Acc:HGNC:27288],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
BOK,ENSG00000176720,BOK,BCL2 family apoptosis regulator BOK [Source:HGNC Symbol;Acc:HGNC:1087],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZNF843,ENSG00000176723,ZNF843,zinc finger protein 843 [Source:HGNC Symbol;Acc:HGNC:28710],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TTTY14,ENSG00000176728,TTTY14,"testis-specific transcript, Y-linked 14 [Source:HGNC Symbol;Acc:HGNC:18495]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
PFN4,ENSG00000176732,PFN4,profilin family member 4 [Source:HGNC Symbol;Acc:HGNC:31103],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR51V1,ENSG00000176742,OR51V1,olfactory receptor family 51 subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:19597],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MAGEB6,ENSG00000176746,MAGEB6,MAGE family member B6 [Source:HGNC Symbol;Acc:HGNC:23796],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CDK5R1,ENSG00000176749,CDK5R1,cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LINC00303,ENSG00000176754,LINC00303,long intergenic non-protein coding RNA 303 [Source:HGNC Symbol;Acc:HGNC:26865],"GENECARDS,HGNC"
TCERG1L,ENSG00000176769,TCERG1L,transcription elongation regulator 1 like [Source:HGNC Symbol;Acc:HGNC:23533],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NCKAP5,ENSG00000176771,NCKAP5,NCK associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MAGEB18,ENSG00000176774,MAGEB18,MAGE family member B18 [Source:HGNC Symbol;Acc:HGNC:28515],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DEFB104A,ENSG00000176782,DEFB104A,defensin beta 104A [Source:HGNC Symbol;Acc:HGNC:18115],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RUFY1,ENSG00000176783,RUFY1,RUN and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19760],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR52E2,ENSG00000176787,OR52E2,olfactory receptor family 52 subfamily E member 2 [Source:HGNC Symbol;Acc:HGNC:14769],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
BASP1,ENSG00000176788,BASP1,brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DEFB103B,ENSG00000176797,DEFB103A,defensin beta 103A [Source:HGNC Symbol;Acc:HGNC:15967],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
DEFB103A,ENSG00000176797,DEFB103A,defensin beta 103A [Source:HGNC Symbol;Acc:HGNC:15967],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR51L1,ENSG00000176798,OR51L1,olfactory receptor family 51 subfamily L member 1 [Source:HGNC Symbol;Acc:HGNC:14759],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LRRC37A3,ENSG00000176809,LRRC37A3,leucine rich repeat containing 37 member A3 [Source:HGNC Symbol;Acc:HGNC:32427],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
VSIG10,ENSG00000176834,VSIG10,V-set and immunoglobulin domain containing 10 [Source:HGNC Symbol;Acc:HGNC:26078],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MIR7-3HG,ENSG00000176840,MIR7-3HG,MIR7-3 host gene [Source:HGNC Symbol;Acc:HGNC:30049],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
IRX5,ENSG00000176842,IRX5,iroquois homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14361],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
METRNL,ENSG00000176845,METRNL,"meteorin like, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:27584]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FAM91A1,ENSG00000176853,FAM91A1,family with sequence similarity 91 member A1 [Source:HGNC Symbol;Acc:HGNC:26306],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
WSB2,ENSG00000176871,WSB2,WD repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:19222],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GRIN1,ENSG00000176884,GRIN1,glutamate ionotropic receptor NMDA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4584],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SOX11,ENSG00000176887,SOX11,SRY-box transcription factor 11 [Source:HGNC Symbol;Acc:HGNC:11191],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TYMS,ENSG00000176890,TYMS,thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR51G2,ENSG00000176893,OR51G2,olfactory receptor family 51 subfamily G member 2 [Source:HGNC Symbol;Acc:HGNC:15198],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PXMP2,ENSG00000176894,PXMP2,peroxisomal membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:9716],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR51A7,ENSG00000176895,OR51A7,olfactory receptor family 51 subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:15188],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TCEANC,ENSG00000176896,TCEANC,transcription elongation factor A N-terminal and central domain containing [Source:HGNC Symbol;Acc:HGNC:28277],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR51T1,ENSG00000176900,OR51T1,olfactory receptor family 51 subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:15205],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PNMA1,ENSG00000176903,PNMA1,PNMA family member 1 [Source:HGNC Symbol;Acc:HGNC:9158],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR51H1,ENSG00000176904,OR51H1,olfactory receptor family 51 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:14833],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
MAMSTR,ENSG00000176909,MAMSTR,MEF2 activating motif and SAP domain containing transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:26689],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ANKLE2,ENSG00000176915,ANKLE2,ankyrin repeat and LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29101],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
C8G,ENSG00000176919,C8G,complement C8 gamma chain [Source:HGNC Symbol;Acc:HGNC:1354],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FUT2,ENSG00000176920,FUT2,fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:4013],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR51S1,ENSG00000176922,OR51S1,olfactory receptor family 51 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:15204],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR51F2,ENSG00000176925,OR51F2,olfactory receptor family 51 subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:15197],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
EFCAB5,ENSG00000176927,EFCAB5,EF-hand calcium binding domain 5 [Source:HGNC Symbol;Acc:HGNC:24801],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GCNT4,ENSG00000176928,GCNT4,glucosaminyl (N-acetyl) transferase 4 [Source:HGNC Symbol;Acc:HGNC:17973],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MUC20,ENSG00000176945,MUC20,"mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
THAP4,ENSG00000176946,THAP4,THAP domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23187],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NFATC2IP,ENSG00000176953,NFATC2IP,nuclear factor of activated T cells 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:25906],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LY6H,ENSG00000176956,LY6H,lymphocyte antigen 6 family member H [Source:HGNC Symbol;Acc:HGNC:6728],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FIBIN,ENSG00000176971,FIBIN,fin bud initiation factor homolog [Source:HGNC Symbol;Acc:HGNC:33747],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FAM89B,ENSG00000176973,FAM89B,family with sequence similarity 89 member B [Source:HGNC Symbol;Acc:HGNC:16708],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SHMT1,ENSG00000176974,SHMT1,serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DPP7,ENSG00000176978,DPP7,dipeptidyl peptidase 7 [Source:HGNC Symbol;Acc:HGNC:14892],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TRIM60,ENSG00000176979,TRIM60,tripartite motif containing 60 [Source:HGNC Symbol;Acc:HGNC:21162],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SEC24C,ENSG00000176986,SEC24C,"SEC24 homolog C, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10705]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FMR1NB,ENSG00000176988,FMR1NB,FMR1 neighbor [Source:HGNC Symbol;Acc:HGNC:26372],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SMCR8,ENSG00000176994,SMCR8,SMCR8-C9orf72 complex subunit [Source:HGNC Symbol;Acc:HGNC:17921],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MTHFR,ENSG00000177000,MTHFR,methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DEFB104B,ENSG00000177023,DEFB104B,defensin beta 104B [Source:HGNC Symbol;Acc:HGNC:26165],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
DEFB104A,ENSG00000177023,DEFB104B,defensin beta 104B [Source:HGNC Symbol;Acc:HGNC:26165],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
C19ORF18,ENSG00000177025,C19orf18,chromosome 19 open reading frame 18 [Source:HGNC Symbol;Acc:HGNC:28642],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DEAF1,ENSG00000177030,DEAF1,DEAF1 transcription factor [Source:HGNC Symbol;Acc:HGNC:14677],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MTX3,ENSG00000177034,MTX3,metaxin 3 [Source:HGNC Symbol;Acc:HGNC:24812],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TMEM80,ENSG00000177042,TMEM80,transmembrane protein 80 [Source:HGNC Symbol;Acc:HGNC:27453],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SIX5,ENSG00000177045,SIX5,SIX homeobox 5 [Source:HGNC Symbol;Acc:HGNC:10891],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
IFNW1,ENSG00000177047,IFNW1,interferon omega 1 [Source:HGNC Symbol;Acc:HGNC:5448],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FBXO46,ENSG00000177051,FBXO46,F-box protein 46 [Source:HGNC Symbol;Acc:HGNC:25069],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZDHHC13,ENSG00000177054,ZDHHC13,zinc finger DHHC-type palmitoyltransferase 13 [Source:HGNC Symbol;Acc:HGNC:18413],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SLC38A9,ENSG00000177058,SLC38A9,solute carrier family 38 member 9 [Source:HGNC Symbol;Acc:HGNC:26907],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ACER2,ENSG00000177076,ACER2,alkaline ceramidase 2 [Source:HGNC Symbol;Acc:HGNC:23675],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
WDR73,ENSG00000177082,WDR73,WD repeat domain 73 [Source:HGNC Symbol;Acc:HGNC:25928],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
POLE,ENSG00000177084,POLE,"DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SCN4B,ENSG00000177098,SCN4B,sodium voltage-gated channel beta subunit 4 [Source:HGNC Symbol;Acc:HGNC:10592],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DSCAML1,ENSG00000177103,DSCAML1,DS cell adhesion molecule like 1 [Source:HGNC Symbol;Acc:HGNC:14656],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RHOG,ENSG00000177105,RHOG,ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
EPS8L2,ENSG00000177106,EPS8L2,EPS8 like 2 [Source:HGNC Symbol;Acc:HGNC:21296],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZDHHC22,ENSG00000177108,ZDHHC22,zinc finger DHHC-type palmitoyltransferase 22 [Source:HGNC Symbol;Acc:HGNC:20106],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ANO6,ENSG00000177119,ANO6,anoctamin 6 [Source:HGNC Symbol;Acc:HGNC:25240],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZBTB34,ENSG00000177125,ZBTB34,zinc finger and BTB domain containing 34 [Source:HGNC Symbol;Acc:HGNC:31446],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FAM9B,ENSG00000177138,FAM9B,family with sequence similarity 9 member B [Source:HGNC Symbol;Acc:HGNC:18404],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CETN1,ENSG00000177143,CETN1,centrin 1 [Source:HGNC Symbol;Acc:HGNC:1866],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FAM210A,ENSG00000177150,FAM210A,family with sequence similarity 210 member A [Source:HGNC Symbol;Acc:HGNC:28346],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR2T35,ENSG00000177151,OR2T35,olfactory receptor family 2 subfamily T member 35 [Source:HGNC Symbol;Acc:HGNC:31257],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TALDO1,ENSG00000177156,TALDO1,transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ULK1,ENSG00000177169,ULK1,unc-51 like autophagy activating kinase 1 [Source:HGNC Symbol;Acc:HGNC:12558],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR14C36,ENSG00000177174,OR14C36,olfactory receptor family 14 subfamily C member 36 [Source:HGNC Symbol;Acc:HGNC:15026],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RIMKLA,ENSG00000177181,RIMKLA,ribosomal modification protein rimK like family member A [Source:HGNC Symbol;Acc:HGNC:28725],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CLVS1,ENSG00000177182,CLVS1,clavesin 1 [Source:HGNC Symbol;Acc:HGNC:23139],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR2M7,ENSG00000177186,OR2M7,olfactory receptor family 2 subfamily M member 7 [Source:HGNC Symbol;Acc:HGNC:19594],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RPS6KA3,ENSG00000177189,RPS6KA3,ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
B3GNT8,ENSG00000177191,B3GNT8,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:24139]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PUS1,ENSG00000177192,PUS1,pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:15508],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CHD9,ENSG00000177200,CHD9,chromodomain helicase DNA binding protein 9 [Source:HGNC Symbol;Acc:HGNC:25701],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR2T12,ENSG00000177201,OR2T12,olfactory receptor family 2 subfamily T member 12 [Source:HGNC Symbol;Acc:HGNC:19592],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SPACA4,ENSG00000177202,SPACA4,sperm acrosome associated 4 [Source:HGNC Symbol;Acc:HGNC:16441],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR2T33,ENSG00000177212,OR2T33,olfactory receptor family 2 subfamily T member 33 [Source:HGNC Symbol;Acc:HGNC:31255],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LINC01561,ENSG00000177234,LINC01561,long intergenic non-protein coding RNA 1561 [Source:HGNC Symbol;Acc:HGNC:31365],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
TRIM72,ENSG00000177238,TRIM72,tripartite motif containing 72 [Source:HGNC Symbol;Acc:HGNC:32671],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MAN1B1,ENSG00000177239,MAN1B1,mannosidase alpha class 1B member 1 [Source:HGNC Symbol;Acc:HGNC:6823],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DEFB103B,ENSG00000177243,DEFB103B,defensin beta 103B [Source:HGNC Symbol;Acc:HGNC:31702],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
DEFB103A,ENSG00000177243,DEFB103B,defensin beta 103B [Source:HGNC Symbol;Acc:HGNC:31702],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DEFB4B,ENSG00000177257,DEFB4B,defensin beta 4B [Source:HGNC Symbol;Acc:HGNC:30193],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
DEFB4A,ENSG00000177257,DEFB4B,defensin beta 4B [Source:HGNC Symbol;Acc:HGNC:30193],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
KCNA3,ENSG00000177272,KCNA3,potassium voltage-gated channel subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:6221],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OR2AJ1,ENSG00000177275,OR2AJ1,olfactory receptor family 2 subfamily AJ member 1 [Source:HGNC Symbol;Acc:HGNC:15001],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FZD8,ENSG00000177283,FZD8,frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GJD4,ENSG00000177291,GJD4,gap junction protein delta 4 [Source:HGNC Symbol;Acc:HGNC:23296],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FBXO39,ENSG00000177294,FBXO39,F-box protein 39 [Source:HGNC Symbol;Acc:HGNC:28565],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CLDN22,ENSG00000177300,CLDN22,claudin 22 [Source:HGNC Symbol;Acc:HGNC:2044],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
KCNA2,ENSG00000177301,KCNA2,potassium voltage-gated channel subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:6220],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TOP3A,ENSG00000177302,TOP3A,DNA topoisomerase III alpha [Source:HGNC Symbol;Acc:HGNC:11992],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CASKIN2,ENSG00000177303,CASKIN2,CASK interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:18200],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZBTB38,ENSG00000177311,ZBTB38,zinc finger and BTB domain containing 38 [Source:HGNC Symbol;Acc:HGNC:26636],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
BEND2,ENSG00000177324,BEND2,BEN domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28509],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DLGAP1-AS1,ENSG00000177337,DLGAP1-AS1,DLGAP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:31676],"GENECARDS,HGNC"
LINC00469,ENSG00000177338,LINC00469,long intergenic non-protein coding RNA 469 [Source:HGNC Symbol;Acc:HGNC:26863],"GENECARDS,HGNC"
FLJ13224,ENSG00000177340,FLJ13224,uncharacterized LOC79857 [Source:NCBI gene (formerly Entrezgene);Acc:79857],"ENTREZGENE,WIKIGENE"
CCDC71,ENSG00000177352,CCDC71,coiled-coil domain containing 71 [Source:HGNC Symbol;Acc:HGNC:25760],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
C10ORF71,ENSG00000177354,C10orf71,chromosome 10 open reading frame 71 [Source:HGNC Symbol;Acc:HGNC:26973],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LRRN4CL,ENSG00000177363,LRRN4CL,LRRN4 C-terminal like [Source:HGNC Symbol;Acc:HGNC:33724],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TIMM22,ENSG00000177370,TIMM22,translocase of inner mitochondrial membrane 22 [Source:HGNC Symbol;Acc:HGNC:17317],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HIC1,ENSG00000177374,HIC1,HIC ZBTB transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:4909],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PPFIA3,ENSG00000177380,PPFIA3,PTPRF interacting protein alpha 3 [Source:HGNC Symbol;Acc:HGNC:9247],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MAGEF1,ENSG00000177383,MAGEF1,MAGE family member F1 [Source:HGNC Symbol;Acc:HGNC:29639],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
UMODL1,ENSG00000177398,UMODL1,uromodulin like 1 [Source:HGNC Symbol;Acc:HGNC:12560],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SAMD9L,ENSG00000177409,SAMD9L,sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZFAS1,ENSG00000177410,ZFAS1,ZNFX1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:33101],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
UBE2U,ENSG00000177414,UBE2U,ubiquitin conjugating enzyme E2 U [Source:HGNC Symbol;Acc:HGNC:28559],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PAWR,ENSG00000177425,PAWR,pro-apoptotic WT1 regulator [Source:HGNC Symbol;Acc:HGNC:8614],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TGIF1,ENSG00000177426,TGIF1,TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MIEF2,ENSG00000177427,MIEF2,mitochondrial elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:17920],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NAP1L5,ENSG00000177432,NAP1L5,nucleosome assembly protein 1 like 5 [Source:HGNC Symbol;Acc:HGNC:19968],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
